cultivo_id,nombre_cultivo,archivo_csv,municipios,municipios_cumple_todos,municipios_no_cumple,municipios_sin_datos,porcentaje_municipios_cumple_todos,promedio_cumplimiento_pdf
nogal,Nogal,data/mapas_pdf_crudo/cultivo_nogal.parquet,2457,250,2207,0,10.2,69.8
nopal,Nopal,data/mapas_pdf_crudo/cultivo_nopal.parquet,2457,496,1961,0,20.2,88.2
okra,Okra,data/mapas_pdf_crudo/cultivo_okra.parquet,2457,474,1983,0,19.3,83.5
olivo,Olivo,data/mapas_pdf_crudo/cultivo_olivo.parquet,2457,183,2274,0,7.4,84.3
oregano,Orégano,data/mapas_pdf_crudo/cultivo_oregano.parquet,2457,0,2457,0,0.0,54.2
palma_de_aceite,Palma de aceite,data/mapas_pdf_crudo/cultivo_palma_de_aceite.parquet,2457,1,2456,0,0.0,46.3
papa,Papa,data/mapas_pdf_crudo/cultivo_papa.parquet,2457,257,2200,0,10.5,78.3
papaya,Papaya,data/mapas_pdf_crudo/cultivo_papaya.parquet,2457,706,1751,0,28.7,84.6
pepino,Pepino,data/mapas_pdf_crudo/cultivo_pepino.parquet,2457,14,2443,0,0.6,74.2
pera,Pera,data/mapas_pdf_crudo/cultivo_pera.parquet,2457,0,2457,0,0.0,62.8
perejil,Perejil,data/mapas_pdf_crudo/cultivo_perejil.parquet,2457,0,2457,0,0.0,64.5
pimienta,Pimienta,data/mapas_pdf_crudo/cultivo_pimienta.parquet,2457,49,2408,0,2.0,62.4
pina,Piña,data/mapas_pdf_crudo/cultivo_pina.parquet,2457,0,2457,0,0.0,62.8
pistacho,Pistacho,data/mapas_pdf_crudo/cultivo_pistacho.parquet,2457,33,2424,0,1.3,57.8
pitahaya,Pitahaya,data/mapas_pdf_crudo/cultivo_pitahaya.parquet,2457,153,2304,0,6.2,71.9
pitaya,Pitaya,data/mapas_pdf_crudo/cultivo_pitaya.parquet,2457,213,2244,0,8.7,71.8
platano,Plátano,data/mapas_pdf_crudo/cultivo_platano.parquet,2457,54,2403,0,2.2,67.5
rabano,Rábano,data/mapas_pdf_crudo/cultivo_rabano.parquet,2457,0,2457,0,0.0,64.4
rambutan,Rambután,data/mapas_pdf_crudo/cultivo_rambutan.parquet,2457,31,2426,0,1.3,57.1
rosa,Rosa,data/mapas_pdf_crudo/cultivo_rosa.parquet,2457,1850,607,0,75.3,94.4
sandia,Sandía,data/mapas_pdf_crudo/cultivo_sandia.parquet,2457,0,2457,0,0.0,64.8
sorgo,Sorgo,data/mapas_pdf_crudo/cultivo_sorgo.parquet,2457,14,2443,0,0.6,64.6
soya,Soya,data/mapas_pdf_crudo/cultivo_soya.parquet,2457,0,2457,0,0.0,63.6
stevia,Stevia,data/mapas_pdf_crudo/cultivo_stevia.parquet,2457,0,2457,0,0.0,59.7
tabaco,Tabaco,data/mapas_pdf_crudo/cultivo_tabaco.parquet,2457,145,2312,0,5.9,77.4
tamarindo,Tamarindo,data/mapas_pdf_crudo/cultivo_tamarindo.parquet,2457,974,1483,0,39.6,89.3
tomate,Tomate,data/mapas_pdf_crudo/cultivo_tomate.parquet,2457,0,2457,0,0.0,69.2
tomate_de_cascara,Tomate de cáscara,data/mapas_pdf_crudo/cultivo_tomate_de_cascara.parquet,2457,226,2231,0,9.2,65.1
tomillo,Tomillo,data/mapas_pdf_crudo/cultivo_tomillo.parquet,2457,0,2457,0,0.0,56.3
toronja,Toronja,data/mapas_pdf_crudo/cultivo_toronja.parquet,2457,11,2446,0,0.4,67.5
trigo,Trigo,data/mapas_pdf_crudo/cultivo_trigo.parquet,2457,0,2457,0,0.0,69.1
vainilla,Vainilla,data/mapas_pdf_crudo/cultivo_vainilla.parquet,2457,3,2454,0,0.1,56.5
vid,Vid,data/mapas_pdf_crudo/cultivo_vid.parquet,2457,271,2186,0,11.0,81.6
yuca,Yuca,data/mapas_pdf_crudo/cultivo_yuca.parquet,2457,893,1564,0,36.3,89.0
zanahoria,Zanahoria,data/mapas_pdf_crudo/cultivo_zanahoria.parquet,2457,242,2215,0,9.8,80.8
zarzamora,Zarzamora,data/mapas_pdf_crudo/cultivo_zarzamora.parquet,2457,0,2457,0,0.0,70.7
